# Goxel 0.10.4			--- Brain from https://free3d.com/3d-model/brain-18357.html ---
# One line per voxel
# X Y Z RRGGBB
8 0 11 fefefe
0 1 11 ffffff
1 1 11 ffffff
6 1 11 ffffff
7 1 11 ffffff
8 1 11 fefefe
0 2 11 ffffff
1 2 11 ffffff
6 2 11 ffffff
7 2 11 ffffff
0 3 11 ffffff
1 3 11 ffffff
6 3 11 ffffff
7 3 11 ffffff
0 4 11 ffffff
4 4 11 ffffff
5 4 11 fefefe
6 4 11 fefefe
4 5 11 ffffff
5 5 11 fefefe
6 5 11 ffffff
4 6 11 ffffff
2 7 11 fefefe
3 7 11 ffffff
4 7 11 ffffff
0 8 11 ffffff
1 8 11 ffffff
2 8 11 ffffff
3 8 11 ffffff
0 9 11 ffffff
1 9 11 ffffff
0 0 12 ffffff
1 0 12 ffffff
2 0 12 fefefe
7 0 12 ffffff
8 0 12 ffffff
0 1 12 ffffff
1 1 12 ffffff
7 1 12 ffffff
8 1 12 fefefe
0 2 12 ffffff
1 2 12 ffffff
6 2 12 ffffff
7 2 12 ffffff
0 3 12 ffffff
1 3 12 fefefe
5 3 12 ffffff
6 3 12 ffffff
7 3 12 ffffff
0 4 12 ffffff
1 4 12 ffffff
5 4 12 fefefe
6 4 12 fefefe
4 5 12 ffffff
5 5 12 ffffff
6 5 12 ffffff
3 6 12 fefefe
4 6 12 ffffff
2 7 12 ffffff
3 7 12 ffffff
4 7 12 ffffff
0 8 12 ffffff
1 8 12 ffffff
2 8 12 fefefe
3 8 12 fefefe
0 9 12 fefefe
1 9 12 ffffff
0 0 13 fefefe
1 0 13 ffffff
7 0 13 ffffff
0 1 13 fefefe
6 1 13 ffffff
7 1 13 ffffff
6 2 13 ffffff
7 2 13 ffffff
5 3 13 fefefe
6 3 13 fefefe
5 4 13 ffffff
6 4 13 fefefe
4 5 13 fefefe
5 5 13 ffffff
3 6 13 fefefe
4 6 13 fefefe
5 6 13 ffffff
1 7 13 ffffff
2 7 13 ffffff
3 7 13 ffffff
4 7 13 ffffff
0 8 13 ffffff
1 8 13 ffffff
2 8 13 ffffff
3 8 13 ffffff
0 9 13 ffffff
1 9 13 ffffff
0 0 14 ffffff
7 0 14 ffffff
6 1 14 ffffff
7 1 14 ffffff
6 2 14 fefefe
7 2 14 fefefe
5 3 14 ffffff
6 3 14 ffffff
5 4 14 ffffff
6 4 14 ffffff
3 5 14 ffffff
4 5 14 ffffff
5 5 14 ffffff
1 6 14 ffffff
2 6 14 fefefe
3 6 14 ffffff
0 7 14 ffffff
1 7 14 ffffff
2 7 14 ffffff
3 7 14 ffffff
0 8 14 ffffff
1 8 14 ffffff
6 0 15 ffffff
7 0 15 fefefe
5 1 15 ffffff
6 1 15 fefefe
7 1 15 ffffff
5 2 15 ffffff
6 2 15 ffffff
5 3 15 ffffff
6 3 15 fefefe
3 4 15 ffffff
4 4 15 fefefe
5 4 15 fefefe
2 5 15 ffffff
3 5 15 fefefe
4 5 15 ffffff
5 5 15 ffffff
0 6 15 ffffff
1 6 15 ffffff
2 6 15 fefefe
3 6 15 fefefe
0 7 15 fefefe
1 7 15 fefefe
2 7 15 ffffff
0 8 15 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 fefefe
-9 -2 0 ffffff
-8 -2 0 ffffff
-7 -2 0 fefefe
-6 -2 0 fefefe
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-11 -1 0 ffffff
-10 -1 0 ffffff
-9 -1 0 ffffff
-8 -1 0 ffffff
-7 -1 0 fefefe
-6 -1 0 ffffff
-5 -1 0 fefefe
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-8 -4 1 ffffff
-7 -4 1 fefefe
-6 -4 1 ffffff
-5 -4 1 ffffff
-4 -4 1 ffffff
-3 -4 1 ffffff
-14 -3 1 ffffff
-13 -3 1 ffffff
-12 -3 1 ffffff
-11 -3 1 ffffff
-8 -3 1 ffffff
-7 -3 1 ffffff
-6 -3 1 fefefe
-5 -3 1 ffffff
-4 -3 1 ffffff
-3 -3 1 fefefe
-1 -3 1 ffffff
-15 -2 1 ffffff
-14 -2 1 ffffff
-13 -2 1 ffffff
-12 -2 1 ffffff
-11 -2 1 ffffff
-10 -2 1 ffffff
-9 -2 1 ffffff
-8 -2 1 ffffff
-3 -2 1 ffffff
-2 -2 1 ffffff
-1 -2 1 ffffff
-15 -1 1 fefefe
-14 -1 1 ffffff
-13 -1 1 ffffff
-12 -1 1 ffffff
-11 -1 1 fefefe
-10 -1 1 ffffff
-9 -1 1 ffffff
-8 -1 1 ffffff
-7 -1 1 ffffff
-6 -1 1 ffffff
-5 -1 1 ffffff
-4 -1 1 ffffff
-3 -1 1 ffffff
-2 -1 1 ffffff
-1 -1 1 ffffff
-7 -7 2 ffffff
-6 -7 2 ffffff
-5 -7 2 ffffff
-4 -7 2 fefefe
-8 -6 2 ffffff
-7 -6 2 ffffff
-6 -6 2 fefefe
-5 -6 2 fefefe
-4 -6 2 ffffff
-3 -6 2 fefefe
-8 -5 2 ffffff
-7 -5 2 ffffff
-6 -5 2 fefefe
-5 -5 2 ffffff
-4 -5 2 ffffff
-3 -5 2 fefefe
-11 -4 2 ffffff
-10 -4 2 ffffff
-9 -4 2 ffffff
-8 -4 2 ffffff
-7 -4 2 ffffff
-6 -4 2 fefefe
-5 -4 2 ffffff
-4 -4 2 fefefe
-3 -4 2 ffffff
-2 -4 2 ffffff
-1 -4 2 ffffff
-15 -3 2 ffffff
-14 -3 2 ffffff
-13 -3 2 ffffff
-12 -3 2 ffffff
-11 -3 2 ffffff
-10 -3 2 fefefe
-9 -3 2 ffffff
-8 -3 2 ffffff
-4 -3 2 fefefe
-3 -3 2 fefefe
-2 -3 2 ffffff
-1 -3 2 ffffff
-15 -2 2 ffffff
-14 -2 2 ffffff
-13 -2 2 ffffff
-12 -2 2 fefefe
-11 -2 2 ffffff
-10 -2 2 fefefe
-9 -2 2 ffffff
-8 -2 2 ffffff
-7 -2 2 fefefe
-6 -2 2 ffffff
-5 -2 2 ffffff
-4 -2 2 fefefe
-3 -2 2 ffffff
-2 -2 2 ffffff
-1 -2 2 ffffff
-15 -1 2 fefefe
-8 -1 2 ffffff
-7 -1 2 ffffff
-6 -1 2 fefefe
-5 -1 2 ffffff
-4 -1 2 ffffff
-3 -1 2 ffffff
-2 -1 2 ffffff
-1 -12 3 ffffff
-12 -11 3 ffffff
-11 -11 3 ffffff
-10 -11 3 ffffff
-9 -11 3 fefefe
-2 -11 3 ffffff
-1 -11 3 ffffff
-12 -10 3 ffffff
-11 -10 3 ffffff
-10 -10 3 ffffff
-9 -10 3 ffffff
-2 -10 3 ffffff
-1 -10 3 ffffff
-12 -9 3 ffffff
-11 -9 3 fefefe
-2 -9 3 ffffff
-1 -9 3 ffffff
-12 -8 3 ffffff
-11 -8 3 ffffff
-1 -8 3 ffffff
-8 -7 3 ffffff
-7 -7 3 fefefe
-6 -7 3 ffffff
-5 -7 3 ffffff
-4 -7 3 ffffff
-3 -7 3 ffffff
-8 -6 3 ffffff
-7 -6 3 ffffff
-6 -6 3 ffffff
-5 -6 3 ffffff
-4 -6 3 ffffff
-3 -6 3 ffffff
-2 -6 3 ffffff
-8 -5 3 ffffff
-7 -5 3 fefefe
-6 -5 3 fefefe
-5 -5 3 fefefe
-4 -5 3 ffffff
-3 -5 3 ffffff
-2 -5 3 ffffff
-14 -4 3 fefefe
-13 -4 3 ffffff
-12 -4 3 ffffff
-11 -4 3 ffffff
-10 -4 3 fefefe
-9 -4 3 fefefe
-8 -4 3 ffffff
-3 -4 3 ffffff
-2 -4 3 ffffff
-1 -4 3 ffffff
-15 -3 3 ffffff
-14 -3 3 fefefe
-13 -3 3 fefefe
-12 -3 3 ffffff
-11 -3 3 ffffff
-10 -3 3 ffffff
-9 -3 3 ffffff
-8 -3 3 ffffff
-3 -3 3 ffffff
-2 -3 3 fefefe
-1 -3 3 fefefe
-15 -2 3 fefefe
-14 -2 3 ffffff
-9 -2 3 ffffff
-8 -2 3 ffffff
-7 -2 3 ffffff
-6 -2 3 ffffff
-5 -2 3 ffffff
-4 -2 3 fefefe
-3 -2 3 fefefe
-2 -2 3 ffffff
-16 -1 3 ffffff
-15 -1 3 ffffff
-8 -1 3 ffffff
-7 -1 3 ffffff
-6 -1 3 ffffff
-5 -1 3 ffffff
-4 -1 3 ffffff
-3 -1 3 ffffff
-1 -15 4 ffffff
-11 -14 4 fefefe
-10 -14 4 ffffff
-9 -14 4 fefefe
-2 -14 4 ffffff
-1 -14 4 ffffff
-11 -13 4 fefefe
-10 -13 4 ffffff
-9 -13 4 ffffff
-2 -13 4 ffffff
-1 -13 4 fefefe
-14 -12 4 fefefe
-13 -12 4 ffffff
-12 -12 4 ffffff
-11 -12 4 ffffff
-10 -12 4 ffffff
-9 -12 4 fefefe
-8 -12 4 ffffff
-2 -12 4 ffffff
-1 -12 4 ffffff
-14 -11 4 ffffff
-13 -11 4 ffffff
-12 -11 4 fefefe
-11 -11 4 ffffff
-10 -11 4 ffffff
-9 -11 4 ffffff
-8 -11 4 ffffff
-3 -11 4 fefefe
-2 -11 4 fefefe
-1 -11 4 ffffff
-14 -10 4 ffffff
-13 -10 4 ffffff
-12 -10 4 ffffff
-11 -10 4 ffffff
-10 -10 4 ffffff
-9 -10 4 ffffff
-8 -10 4 ffffff
-2 -10 4 ffffff
-1 -10 4 ffffff
-15 -9 4 fefefe
-14 -9 4 ffffff
-13 -9 4 ffffff
-12 -9 4 fefefe
-11 -9 4 ffffff
-10 -9 4 ffffff
-9 -9 4 ffffff
-8 -9 4 fefefe
-2 -9 4 ffffff
-1 -9 4 fefefe
-15 -8 4 ffffff
-14 -8 4 fefefe
-13 -8 4 ffffff
-12 -8 4 ffffff
-11 -8 4 fefefe
-10 -8 4 ffffff
-9 -8 4 fefefe
-8 -8 4 fefefe
-7 -8 4 ffffff
-6 -8 4 ffffff
-5 -8 4 fefefe
-4 -8 4 ffffff
-3 -8 4 ffffff
-2 -8 4 ffffff
-1 -8 4 fefefe
-14 -7 4 ffffff
-13 -7 4 fefefe
-12 -7 4 ffffff
-8 -7 4 ffffff
-7 -7 4 ffffff
-6 -7 4 fefefe
-5 -7 4 ffffff
-4 -7 4 ffffff
-3 -7 4 fefefe
-2 -7 4 fefefe
-8 -6 4 fefefe
-3 -6 4 ffffff
-2 -6 4 ffffff
-11 -5 4 ffffff
-10 -5 4 ffffff
-9 -5 4 ffffff
-8 -5 4 ffffff
-3 -5 4 ffffff
-2 -5 4 ffffff
-1 -5 4 fefefe
-14 -4 4 ffffff
-13 -4 4 ffffff
-12 -4 4 fefefe
-11 -4 4 ffffff
-10 -4 4 ffffff
-9 -4 4 fefefe
-8 -4 4 ffffff
-2 -4 4 ffffff
-1 -4 4 ffffff
-14 -3 4 ffffff
-13 -3 4 ffffff
-12 -3 4 fefefe
-11 -3 4 ffffff
-10 -3 4 ffffff
-9 -3 4 ffffff
-8 -3 4 ffffff
-7 -3 4 fefefe
-6 -3 4 fefefe
-5 -3 4 fefefe
-3 -3 4 fefefe
-2 -3 4 ffffff
-1 -3 4 ffffff
-15 -2 4 ffffff
-14 -2 4 fefefe
-8 -2 4 ffffff
-7 -2 4 ffffff
-6 -2 4 fefefe
-5 -2 4 ffffff
-4 -2 4 fefefe
-3 -2 4 ffffff
-2 -2 4 fefefe
-16 -1 4 ffffff
-15 -1 4 fefefe
-14 -1 4 ffffff
-8 -1 4 ffffff
-7 -1 4 ffffff
-6 -1 4 ffffff
-5 -1 4 ffffff
-4 -1 4 ffffff
-3 -1 4 ffffff
-12 -15 5 fefefe
-11 -15 5 ffffff
-10 -15 5 ffffff
-9 -15 5 ffffff
-1 -15 5 ffffff
-14 -14 5 fefefe
-13 -14 5 fefefe
-12 -14 5 fefefe
-11 -14 5 fefefe
-10 -14 5 fefefe
-9 -14 5 ffffff
-8 -14 5 ffffff
-2 -14 5 ffffff
-1 -14 5 ffffff
-14 -13 5 ffffff
-13 -13 5 ffffff
-12 -13 5 ffffff
-11 -13 5 ffffff
-9 -13 5 ffffff
-8 -13 5 ffffff
-2 -13 5 ffffff
-15 -12 5 ffffff
-14 -12 5 ffffff
-13 -12 5 ffffff
-12 -12 5 fefefe
-11 -12 5 ffffff
-9 -12 5 fefefe
-8 -12 5 fefefe
-3 -12 5 fefefe
-2 -12 5 ffffff
-15 -11 5 ffffff
-14 -11 5 fefefe
-13 -11 5 fefefe
-12 -11 5 ffffff
-11 -11 5 ffffff
-9 -11 5 ffffff
-8 -11 5 ffffff
-3 -11 5 fefefe
-2 -11 5 fefefe
-15 -10 5 ffffff
-14 -10 5 ffffff
-8 -10 5 ffffff
-3 -10 5 ffffff
-2 -10 5 ffffff
-15 -9 5 ffffff
-14 -9 5 ffffff
-9 -9 5 ffffff
-8 -9 5 ffffff
-3 -9 5 ffffff
-2 -9 5 ffffff
-1 -9 5 fefefe
-15 -8 5 ffffff
-14 -8 5 ffffff
-12 -8 5 ffffff
-11 -8 5 ffffff
-10 -8 5 ffffff
-9 -8 5 ffffff
-8 -8 5 ffffff
-7 -8 5 fefefe
-6 -8 5 ffffff
-5 -8 5 ffffff
-4 -8 5 ffffff
-3 -8 5 ffffff
-2 -8 5 ffffff
-1 -8 5 fefefe
-15 -7 5 fefefe
-14 -7 5 ffffff
-13 -7 5 ffffff
-12 -7 5 ffffff
-11 -7 5 fefefe
-8 -7 5 ffffff
-7 -7 5 fefefe
-6 -7 5 ffffff
-5 -7 5 ffffff
-4 -7 5 ffffff
-3 -7 5 fefefe
-2 -7 5 ffffff
-1 -7 5 ffffff
-15 -6 5 ffffff
-14 -6 5 ffffff
-13 -6 5 ffffff
-12 -6 5 ffffff
-11 -6 5 ffffff
-8 -6 5 ffffff
-3 -6 5 ffffff
-2 -6 5 ffffff
-1 -6 5 ffffff
-16 -5 5 fefefe
-15 -5 5 ffffff
-14 -5 5 ffffff
-13 -5 5 fefefe
-12 -5 5 fefefe
-11 -5 5 ffffff
-10 -5 5 ffffff
-9 -5 5 ffffff
-8 -5 5 fefefe
-2 -5 5 fefefe
-1 -5 5 ffffff
-16 -4 5 ffffff
-15 -4 5 ffffff
-14 -4 5 fefefe
-13 -4 5 fefefe
-12 -4 5 fefefe
-11 -4 5 fefefe
-10 -4 5 ffffff
-9 -4 5 ffffff
-8 -4 5 ffffff
-3 -4 5 ffffff
-2 -4 5 fefefe
-1 -4 5 ffffff
-16 -3 5 ffffff
-15 -3 5 ffffff
-14 -3 5 ffffff
-13 -3 5 ffffff
-12 -3 5 ffffff
-11 -3 5 fefefe
-9 -3 5 ffffff
-8 -3 5 fefefe
-7 -3 5 ffffff
-6 -3 5 ffffff
-5 -3 5 ffffff
-4 -3 5 fefefe
-3 -3 5 ffffff
-2 -3 5 ffffff
-1 -3 5 ffffff
-15 -2 5 ffffff
-14 -2 5 ffffff
-13 -2 5 ffffff
-12 -2 5 ffffff
-11 -2 5 ffffff
-8 -2 5 ffffff
-7 -2 5 ffffff
-6 -2 5 fefefe
-5 -2 5 ffffff
-4 -2 5 ffffff
-3 -2 5 ffffff
-2 -2 5 ffffff
-15 -1 5 fefefe
-14 -1 5 ffffff
-13 -1 5 fefefe
-12 -1 5 ffffff
-11 -1 5 ffffff
-8 -1 5 ffffff
-7 -1 5 ffffff
-6 -1 5 ffffff
-5 -1 5 ffffff
-4 -1 5 ffffff
-5 -16 6 ffffff
-4 -16 6 ffffff
-3 -16 6 ffffff
